Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-39572-1000-6,192.168.1.13,39572,192.168.1.3,1000,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-47336-6567-6,192.168.1.13,47336,192.168.1.3,6567,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-60518-2809-6,192.168.1.13,60518,192.168.1.3,2809,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-43298-1580-6,192.168.1.13,43298,192.168.1.3,1580,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-57500-1098-6,192.168.1.13,57500,192.168.1.3,1098,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-32874-14441-6,192.168.1.13,32874,192.168.1.3,14441,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-41506-5225-6,192.168.1.13,41506,192.168.1.3,5225,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-49482-1023-6,192.168.1.13,49482,192.168.1.3,1023,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-33942-1096-6,192.168.1.13,33942,192.168.1.3,1096,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-50144-9898-6,192.168.1.13,50144,192.168.1.3,9898,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-54878-10180-6,192.168.1.13,54878,192.168.1.3,10180,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-45648-555-6,192.168.1.13,45648,192.168.1.3,555,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-55242-2038-6,192.168.1.13,55242,192.168.1.3,2038,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-48850-1998-6,192.168.1.13,48850,192.168.1.3,1998,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-56228-3551-6,192.168.1.13,56228,192.168.1.3,3551,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-60132-1026-6,192.168.1.13,60132,192.168.1.3,1026,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-58958-406-6,192.168.1.13,58958,192.168.1.3,406,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-37810-1035-6,192.168.1.13,37810,192.168.1.3,1035,6,21/11/2024 03:42:16 PM
